index,date,time,location,lat,lng,precinct,reporting_area,zone,subject_age,subject_race,subject_sex,officer_id_hash,type,violation,arrest_made,citation_issued,warning_issued,outcome,contraband_found,contraband_drugs,contraband_weapons,frisk_performed,search_conducted,search_person,search_vehicle,search_basis,reason_for_stop,vehicle_registration_state,notes
1258697,2018-09-11,44160.0,"CHEATHAM PL & ROSA L PARKS BLVD, NASHVILLE, TN, 37208",36.1781487,-86.7946002,6.0,4331.0,617.0,59.0,black,female,e05e99c1e2,vehicular,moving traffic violation,False,False,True,warning,,,,False,False,False,False,,moving traffic violation,TN,
2726429,2011-08-17,49500.0,"4131 ANDREW JACKSON PKWY, HERMITAGE, TN, 37076",36.1918533,-86.6063733,5.0,9523.0,523.0,64.0,white,male,83fbfcfd39,vehicular,moving traffic violation,False,True,False,citation,,,,False,False,False,False,,moving traffic violation,TN,"speed
"
2046549,2015-05-14,54060.0,"CHARLOTTE PIKE & WESTBORO DR, NASHVILLE, TN, 37209",36.1460731,-86.870747,1.0,5027.0,115.0,35.0,white,male,0491807f2e,vehicular,moving traffic violation,False,False,True,warning,,,,False,False,False,False,,moving traffic violation,TN,
1979967,2016-04-06,35340.0,"DELL PKWY & MURFREESBORO PIKE, NASHVILLE, TN, 37217",36.1077406,-86.6768847,5.0,8951.0,531.0,39.0,black,male,ba10efd51b,vehicular,moving traffic violation,False,True,False,citation,,,,False,False,False,False,,moving traffic violation,TN,
447240,2015-11-06,65520.0,"OLD HICKORY BLVD & PITTS AVE, OLD HICKORY, TN, 37138",36.2389106,-86.6301901,5.0,9711.0,525.0,28.0,white,female,1951043a09,vehicular,vehicle equipment violation,False,False,True,warning,,,,False,False,False,False,,vehicle equipment violation,TN,
74484,2010-10-20,52140.0,"10 E CAMPBELL RD, MADISON, TN, 37115",36.2789475,-86.711688,7.0,1759.0,727.0,40.0,black,female,5e1e44520b,vehicular,moving traffic violation,False,False,True,warning,,,,False,False,False,False,,moving traffic violation,TN,
1146631,2018-03-10,63900.0,"COMMERCE ST & ROSA L PARKS BLVD, NASHVILLE, TN, 37203",36.1602252,-86.7829388,4.0,4113.0,421.0,30.0,white,male,c1e876ae44,vehicular,moving traffic violation,False,True,False,citation,,,,False,False,False,False,,moving traffic violation,TN,
2033198,2010-05-13,79500.0,"LEBANON PIKE & SPENCE LN, NASHVILLE, TN, 37210",36.153508,-86.721171,5.0,9019.0,513.0,31.0,white,female,6f4cd28a19,vehicular,vehicle equipment violation,False,True,False,citation,True,False,False,True,True,True,False,consent,vehicle equipment violation,TN,"STOLEN PLATE.  PASSENGER ADMITTED GUILT AND GIVEN STATE CITATION
"
636754,2010-12-25,60.0,"8TH AVE S & WEDGEWOOD AVE, NASHVILLE, TN, 37203",36.1342346,-86.7790892,8.0,6905.0,821.0,58.0,black,male,264cca6aa3,vehicular,vehicle equipment violation,False,False,True,warning,,,,False,False,False,False,,vehicle equipment violation,TN,
890416,2017-02-25,69600.0,"MAIN ST & S 6TH ST, NASHVILLE, TN, 37206",36.1735819,-86.7633765,2.0,1997.0,227.0,28.0,hispanic,female,4ae38b4239,vehicular,safety violation,False,False,True,warning,,,,False,False,False,False,,safety violation,TN,
1424828,2013-02-23,2460.0,"1500 PORTER RD, NASHVILLE, TN, 37206",36.1932959,-86.727879,2.0,1335.0,215.0,41.0,black,male,45e86ca572,vehicular,vehicle equipment violation,False,True,False,citation,,,,False,False,False,False,,vehicle equipment violation,TN,
589727,2012-01-02,48300.0,"ANDERSON RD & COUNTRY WAY RD, NASHVILLE, TN, 37217",36.0779859,-86.6070842,5.0,8929.0,535.0,37.0,black,female,93ef5d6182,vehicular,moving traffic violation,False,False,True,warning,,,,False,False,False,False,,moving traffic violation,TN,
2753501,2010-08-21,65700.0,"S 6TH ST & SYLVAN ST, NASHVILLE, TN, 37206",36.1672424,-86.7596832,2.0,1013.0,211.0,19.0,black,male,46db754e20,vehicular,moving traffic violation,False,False,True,warning,,,,False,False,False,False,,moving traffic violation,TN,
1768035,2015-03-09,30900.0,"3304 NOLENSVILLE PIKE, , TN, 37211",36.1013836,-86.7400392,3.0,8427.0,313.0,48.0,black,male,b5ca91d71f,vehicular,seatbelt violation,False,True,False,citation,,,,False,False,False,False,,seatbelt violation,TN,
197481,2011-10-08,74040.0,"21ST AVE S & BLAKEMORE AVE, NASHVILLE, TN, 37212",36.1375861,-86.8007588,8.0,5825.0,815.0,28.0,white,female,a597c4ac85,vehicular,vehicle equipment violation,False,False,True,warning,,,,False,False,False,False,,vehicle equipment violation,TN,
3067692,2012-09-06,35940.0,"HERMITAGE AVE & KOREAN VETERANS BLVD, NASHVILLE, TN, 37201",36.1583691,-86.7719178,4.0,4049.0,425.0,70.0,white,male,8b5afada21,vehicular,vehicle equipment violation,False,False,True,warning,,,,False,False,False,False,,vehicle equipment violation,TN,
2966793,2014-09-20,82380.0,"MASHBURN RD & THOMPSON LN, NASHVILLE, TN, 37211",36.1096567,-86.7310833,3.0,8423.0,313.0,22.0,white,male,ce1cf9d519,vehicular,moving traffic violation,False,False,True,warning,,,,False,False,False,False,,moving traffic violation,TN,
73886,2016-10-19,69540.0,"1ST AVE S & DEMONBREUN ST, NASHVILLE, TN, 37201",36.1602316,-86.77312,4.0,4049.0,425.0,59.0,black,male,16f69cd6ef,vehicular,moving traffic violation,False,False,True,warning,,,,False,False,False,False,,moving traffic violation,TN,
2760958,2011-08-02,4380.0,"KERMIT DR & MURFREESBORO PIKE, NASHVILLE, TN, 37217",36.1217299,-86.7048343,5.0,8823.0,531.0,38.0,white,male,b01475d6b0,vehicular,vehicle equipment violation,False,False,True,warning,,,,False,False,False,False,,vehicle equipment violation,TN,
