,index,raw_row_number,date,time,location,lat,lng,precinct,reporting_area,zone,subject_age,subject_race,subject_sex,officer_id_hash,type,violation,arrest_made,citation_issued,warning_issued,outcome,contraband_found,contraband_drugs,contraband_weapons,frisk_performed,search_conducted,search_person,search_vehicle,search_basis,reason_for_stop,vehicle_registration_state,notes,raw_verbal_warning_issued,raw_written_warning_issued,raw_traffic_citation_issued,raw_misd_state_citation_issued,raw_suspect_ethnicity,raw_driver_searched,raw_passenger_searched,raw_search_consent,raw_search_arrest,raw_search_warrant,raw_search_inventory,raw_search_plain_view
532,1060099,2849984,2017-11-02,46140.0,"BRILEY PKWY S & 24  E, NASHVILLE, TN, 37211",36.1095998,-86.7202021,3.0,83022.0,313.0,22.0,white,male,d098ec755c,vehicular,moving traffic violation,False,True,False,citation,,,,False,False,False,False,,moving traffic violation,TN,,False,,True,False,N,False,False,False,False,False,False,False
533,1283002,3073181,2018-11-02,36300.0,"FATHERLAND ST & S 10TH ST, NASHVILLE, TN, 37206",36.1741944,-86.7519839,2.0,1129.0,213.0,23.0,asian/pacific islander,female,01ba20c1e1,vehicular,moving traffic violation,False,False,True,warning,,,,False,False,False,False,,moving traffic violation,TN,,True,,False,False,N,False,False,False,False,False,False,False
534,1413498,2369363,2016-02-02,32820.0,"441 HARDING PL, NASHVILLE, TN, 37211",36.078325,-86.729193,8.0,8609.0,831.0,49.0,hispanic,male,b5ca91d71f,vehicular,moving traffic violation,False,True,False,citation,,,,False,False,False,False,,moving traffic violation,TN,,False,False,True,False,H,False,False,False,False,False,False,False
535,1808048,2435467,2016-04-13,43800.0,"309 WALLACE RD, NASHVILLE, TN, 37211",36.0791578,-86.7138613,3.0,8703.0,321.0,43.0,asian/pacific islander,male,3bdca3df2d,vehicular,vehicle equipment violation,False,False,True,warning,,,,False,False,False,False,,vehicle equipment violation,TN,,True,False,False,False,N,False,False,False,False,False,False,False
536,33067,2269853,2015-10-13,76620.0,"E TRINITY LN & AMBROSE AVE, NASHVILLE, , 37207",36.2045661,-86.7483933,,,,43.0,black,male,c7a5bebec5,vehicular,vehicle equipment violation,False,False,True,warning,,,,False,False,False,False,,vehicle equipment violation,TN,,True,False,False,False,N,False,False,False,False,False,False,False
537,2677085,179276,2010-08-11,4800.0,"I 440 E & 21ST AVE S, NASHVILLE, TN, 37215",36.1456871,-86.8002426,1.0,6001.0,117.0,52.0,white,male,2511466c93,vehicular,vehicle equipment violation,False,False,True,warning,,,,False,False,False,False,,vehicle equipment violation,TN,,True,False,False,,N,False,False,False,False,False,False,False
538,1788374,1265951,2013-04-01,43860.0,"1410 DONELSON PIKE, NASHVILLE, TN, 37217",36.0961356,-86.6789877,3.0,8841.0,323.0,30.0,asian/pacific islander,female,d0ca89bf7d,vehicular,moving traffic violation,False,False,True,warning,,,,False,False,False,False,,moving traffic violation,TN,,True,False,False,False,N,False,False,False,False,False,False,False
539,262951,1513283,2013-11-14,3540.0,"BELL RD & WOODLAND POINT DR, NASHVILLE, TN, 37214",36.1228228,-86.6290158,5.0,8943.0,533.0,30.0,black,female,e4eb4870eb,vehicular,moving traffic violation,False,True,False,citation,,,,False,False,False,False,,moving traffic violation,TN,,False,False,True,False,N,False,False,False,False,False,False,False
540,2453849,486228,2011-06-09,55860.0,"12TH AVE S & SUMMIT AVE, NASHVILLE, TN, 37212",36.1387504,-86.7877615,8.0,6617.0,811,60.0,black,male,7d890c769b,vehicular,moving traffic violation,False,False,True,warning,,,,False,False,False,False,,moving traffic violation,TN,,True,False,False,,N,False,False,False,False,False,False,False
541,67720,240622,2010-10-19,39600.0,"HARDING PL & NOLENSVILLE PIKE, NASHVILLE, TN, 37211",36.0796295,-86.7264067,3.0,8445.0,317.0,26.0,other,male,4ba537931c,vehicular,moving traffic violation,False,True,False,citation,,,,False,False,False,False,,moving traffic violation,TN,,False,False,True,,N,False,False,False,False,False,False,False
542,2571803,955351,2012-07-24,33060.0,"HUME ST & ROSA L PARKS BLVD, NASHVILLE, TN, 37208",36.1788823,-86.7951018,6.0,4333.0,617.0,45.0,black,male,3c38470dbd,vehicular,moving traffic violation,False,False,True,warning,,,,False,False,False,False,,moving traffic violation,TN,,True,False,False,False,N,False,False,False,False,False,False,False
543,941834,2731534,2017-05-09,1440.0,"OLD HICKORY BLVD & RIDGELAKE PKWY, NASHVILLE, TN, 37221",36.0974345,-86.9248595,1.0,4815.0,125.0,34.0,hispanic,female,53e360df93,vehicular,safety violation,False,True,True,citation,,,,False,False,False,False,,safety violation,TN,,True,,False,True,H,False,False,False,False,False,False,False
544,94839,629682,2011-10-22,82380.0,"12TH AVE N & BROADWAY, NASHVILLE, TN, 37203",36.1565833,-86.7874528,4.0,4081.0,423.0,21.0,white,male,8a240b02b9,vehicular,moving traffic violation,False,False,True,warning,,,,False,False,False,False,,moving traffic violation,TN,,True,False,False,,N,False,False,False,False,False,False,False
545,2098545,1737741,2014-05-21,35160.0,"BELL RD & PRIEST WOODS DR, NASHVILLE, TN, 37214",36.1274838,-86.629536,,8945.0,,56.0,white,male,bad5ca5683,vehicular,moving traffic violation,False,False,True,warning,,,,False,False,False,False,,moving traffic violation,TN,SPEEDING,True,False,False,False,N,False,False,False,False,False,False,False
546,2505022,1386003,2013-07-15,74820.0,"19TH AVE N & WEST END AVE, NASHVILLE, TN, 37203",36.1523038,-86.7974334,8.0,5525.0,811.0,26.0,black,female,ef32736df1,vehicular,moving traffic violation,False,True,False,citation,,,,False,False,False,False,,moving traffic violation,TN,,False,False,True,False,N,False,False,False,False,False,False,False
547,2590211,169041,2010-07-27,54780.0,"MILLS RD & OLD HICKORY BLVD, HERMITAGE, TN, 37076",36.1685619,-86.600292,5.0,9527.0,521.0,37.0,white,male,4d037c592b,vehicular,seatbelt violation,False,True,False,citation,,,,False,False,False,False,,seatbelt violation,TN,,False,False,True,,N,False,False,False,False,False,False,False
548,2490371,942371,2012-07-13,47280.0,"DELTA AVE & DOMINICAN DR, NASHVILLE, TN, 37228",36.1869812,-86.802485,6.0,4445.0,611.0,55.0,black,female,eb734545cc,vehicular,seatbelt violation,False,False,True,warning,,,,False,False,False,False,,seatbelt violation,TN,,True,False,False,False,N,False,False,False,False,False,False,False
549,507139,1540611,2013-12-10,77820.0,"I 440 W & WEST END AVE, NASHVILLE, TN, 37212",36.1210587,-86.7647275,8.0,5905.0,815.0,18.0,black,male,0dbc98bd44,vehicular,moving traffic violation,False,False,True,warning,,,,False,False,False,False,,moving traffic violation,TN,,True,False,False,False,N,False,False,False,False,False,False,False
550,1097933,2887879,2018-01-06,66720.0,"24  E & INTERSTATE DR, NASHVILLE, TN, 37213",,,4.0,1108.0,413.0,36.0,white,male,42d656ccc7,vehicular,vehicle equipment violation,False,False,True,warning,,,,False,False,False,False,,vehicle equipment violation,TN,,True,,False,False,N,False,False,False,False,False,False,False
